Time,X,Y,Z,A,B,C,S,T
1.668,771.99176,-246.923172,447.897034,-65.738716,1.010909,179.414658,2,10
1.68,775.05188,-256.189545,447.340363,-64.831474,0.997967,179.462418,2,10
1.692,778.2854,-265.562469,446.794403,-63.909836,0.984558,179.510727,2,10
1.704,781.69751,-275.038391,446.260223,-62.973812,0.970673,179.55954,2,10
1.716,785.293579,-284.613464,445.73877,-62.023399,0.956304,179.608871,2,10
1.728,789.078857,-294.283691,445.23111,-61.058598,0.941442,179.658691,2,10
1.74,793.058716,-304.044922,444.738312,-60.079407,0.92608,179.708984,2,10
1.752,797.238403,-313.892731,444.261414,-59.085835,0.910211,179.75972,2,10
1.764,801.62323,-323.82254,443.801514,-58.077873,0.893829,179.810913,2,10
1.776,806.21106,-333.817047,443.359955,-57.056885,0.87694,179.862442,2,10
1.788,810.986694,-343.838745,442.938171,-56.02644,0.859583,179.914124,2,10
1.8,815.933716,-353.850098,442.537598,-54.990131,0.841806,179.965775,2,10
1.812,821.034729,-363.813812,442.159607,-53.951565,0.823668,-179.982819,2,10
1.824,826.271118,-373.693024,441.805634,-52.91433,0.805239,-179.931808,2,10
1.836,831.62323,-383.451202,441.47699,-51.88203,0.786599,-179.881378,2,10
1.848,837.070374,-393.052429,441.175049,-50.858265,0.767838,-179.831696,2,10
1.86,842.590759,-402.461395,440.901031,-49.84663,0.749053,-179.782913,2,10
1.872,848.167542,-411.657043,440.655396,-48.849369,0.730313,-179.735153,2,10
1.884,853.79364,-420.640503,440.437134,-47.866512,0.711635,-179.68837,2,10
1.896,859.462219,-429.413361,440.245331,-46.89806,0.693032,-179.642593,2,10
1.908,865.166687,-437.977325,440.078979,-45.944008,0.674517,-179.597778,2,10
1.92,870.900574,-446.334259,439.937164,-45.00436,0.656105,-179.55394,2,10
1.932,876.657471,-454.486115,439.818909,-44.079113,0.637808,-179.511047,2,10
1.944,882.431274,-462.434967,439.723236,-43.16827,0.619637,-179.469101,2,10
1.956,888.215942,-470.183014,439.649261,-42.271828,0.601604,-179.428101,2,10
1.968,894.005554,-477.732483,439.595978,-41.389786,0.583721,-179.388016,2,10
1.98,899.794556,-485.085724,439.562531,-40.522144,0.565997,-179.348846,2,10
1.992,905.577271,-492.245178,439.547943,-39.6689,0.548444,-179.310577,2,10
2.004,911.348328,-499.213379,439.551331,-38.830059,0.531071,-179.273193,2,10
2.016,917.102478,-505.992798,439.571777,-38.005619,0.513886,-179.23671,2,10
2.028,922.834717,-512.586121,439.608429,-37.195576,0.4969,-179.20108,2,10
2.04,928.539978,-518.996033,439.6604,-36.399933,0.48012,-179.166321,2,10
2.052,934.213501,-525.225159,439.726837,-35.61869,0.463555,-179.132416,2,10
2.064,939.850647,-531.276306,439.806854,-34.851845,0.447212,-179.09935,2,10
2.076,945.44696,-537.152222,439.899658,-34.0994,0.431099,-179.067108,2,10
2.088,950.998047,-542.855713,440.004395,-33.361355,0.415222,-179.035675,2,10
2.1,956.499634,-548.389587,440.1203,-32.637707,0.399589,-179.005066,2,10
2.112,961.947632,-553.756775,440.246552,-31.928457,0.384206,-178.97525,2,10
2.124,967.338196,-558.960022,440.382355,-31.233606,0.369078,-178.946228,2,10
